price,size,rooms,address
" CHF 3,110.– / month",96m² living space ,4.5 rooms ,"Rennweg 30, 8001 Zürich"
" CHF 6,210.– / month",140m² living space ,5.5 rooms ,"Bellariastrasse 56, 8038 Zürich"
" CHF 5,440.– / month",156m² living space ,5.5 rooms ,"Kleinertstrasse 2, 8037 Zürich"
" CHF 1,820.– / month",48m² living space ,3.5 rooms ,"Langmauerstrasse 25, 8006 Zürich"
" CHF 2,520.– / month",58m² living space ,3 rooms ,"Hohlstrasse 486, 8048 Zürich"
" CHF 6,080.– / month",135m² living space ,4.5 rooms ,"Ankerstrasse 114, 8004 Zürich"
" CHF 5,040.– / month",166m² living space ,5.5 rooms ,"Leutschenbachstrasse 40, 8050 Zürich"
 CHF 710.– / week,46m² living space ,3.5 rooms ,"Hagenholzstrasse 59, 8050 Zürich"
" CHF 4,820.– / month",185m² living space ,2 rooms ,"Militärstrasse 105, 8004 Zürich"
" CHF 14,180.– / month",320m² living space ,10.5 rooms ,"Höschgasse 29, 8008 Zürich"
" CHF 4,670.– / month",113m² living space ,4.5 rooms ,"Zollikerstrasse 6, 8008 Zürich"
" CHF 8,830.– / month",270m² living space ,6 rooms ,"Frohburgstrasse 72, 8057 Zürich"
" CHF 6,050.– / month",185m² living space ,6 rooms ,"Frohburgstrasse 320, 8057 Zürich"
" CHF 7,050.– / month",149m² living space ,5.5 rooms ,"Ankerstrasse 114, 8004 Zürich"
" CHF 7,940.– / month",166m² living space ,3 rooms ,"Ankerstrasse 114, 8004 Zürich"
" CHF 3,810.– / month",82m² living space ,3.5 rooms ,"Zollikerstrasse 6, 8008 Zürich"
" CHF 8,680.– / month",140m² living space ,5.5 rooms ,"Zollikerstrasse 6, 8008 Zürich"
" CHF 6,900.– / month",150m² living space ,5.5 rooms ,"Scheideggstrasse 65, 8002 Zürich"
" CHF 5,860.– / month",160m² living space ,5.5 rooms ,"Käferholzstrasse 32, 8057 Zürich"
" CHF 74,250.– / month",149m² living space ,5.5 rooms ,8008 Zürich
" CHF 4,000.– / month",126m² living space ,4.5 rooms ,"Goldauerstrasse, 8006 Zürich"
" CHF 5,860.– / month",140m² living space ,5.5 rooms ,"Hönggerstrasse, 8037 Zürich"
" CHF 4,140.– / month",179m² living space ,5.5 rooms ,"Höfliweg 24, 8055 Zürich"
" CHF 6,280.– / month",140m² living space ,5.5 rooms ,"Münstergasse 9, 8001 Zürich"
" CHF 4,300.– / month",175m² living space ,5.5 rooms ,"Maneggplatz 14, 8041 Zürich"
" CHF 2,860.– / month",80m² living space ,3.5 rooms ,"Eugen-Huber-Str. 115, 8048 Zürich"
" CHF 5,170.– / month",140m² living space ,7.5 rooms ,"Giblenstrasse 55, 8049 Zürich"
" CHF 7,280.– / month",170m² living space ,7.5 rooms ,"Alfred Escher-Strasse 27, 8002 Zürich"
" CHF 2,760.– / month",56m² living space ,3.5 rooms ,"Eugen-Huber-Strasse 64, 8048 Zürich"
" CHF 4,820.– / month",137m² living space ,4.5 rooms ,"Delphinstrasse 6, 8008 Zürich"
" CHF 4,060.– / month",94m² living space ,4.5 rooms ,"Hohlstrasse 104, 8004 Zürich"
" CHF 4,240.– / month",143m² living space ,5.5 rooms ,"Triemlistrasse 153, 8047 Zürich"
" CHF 4,240.– / month",126m² living space ,4.5 rooms ,"Forchstrasse 251, 8032 Zürich"
" CHF 4,920.– / month",145m² living space ,5.5 rooms ,"Zurlindenstrasse 51, 8003 Zürich"
" CHF 1,780.– / month",124m² living space ,2 rooms ,"Im Altried 3B, 8051 Zürich"
" CHF 6,280.– / month",160m² living space ,7.5 rooms ,"Käferholzstrasse 46, 8057 Zürich"
" CHF 2,790.– / month",101m² living space ,3.5 rooms ,"Kalkbreitestr. 115, 8003 Zürich"
" CHF 3,450.– / month",151m² living space ,5.5 rooms ,"Hardaustrasse 23, 8003 Zürich"
" CHF 6,230.– / month",,7.5 rooms ,"Schulhausstrasse 55, 8002 Zürich"
" CHF 7,980.– / month",210m² living space ,8.5 rooms ,"Saumackerstrasse 68, 8048 Zürich"
" CHF 4,560.– / month",137m² living space ,5.5 rooms ,"Badenerstrasse 672, 8048 Zürich"
 Price on request ,320m² living space ,8.5 rooms ,8044 Zürich
" CHF 7,800.– / month",180m² living space ,6 rooms ,"Susenbergstrasse 187, 8044 Zürich"
